,source,sink,reactance,limit
229,n_6695,n_19222,4547.7490915871185,6392.86
230,n_6696,n_23848,972.5232992269412,5782.087468
231,n_6697,n_22546,220.1135830111054,5249.03
232,n_6697,n_6703,49.65242803848778,4764.07
233,n_6698,n_22546,4091.083891766284,6348.97
234,n_6699,n_22549,77.39341456339743,4903.73
235,n_6700,n_6703,93.21030070761532,4963.46
236,n_6700,n_22548,181.99925453105342,5184.45
237,n_6701,n_28771,88.86197753267078,4948.05
238,n_6701,n_19222,221.78683003188848,5251.61
239,n_6703,n_7618,40.87193738909655,4704.1
240,n_6888,n_22590,138.12509547897224,1340.49
241,n_6888,n_28954,77.10814239622343,4902.56
242,n_6889,n_22589,15037.593984962405,6910.22
243,n_6890,n_22590,119474.31302270012,2081.85
244,n_6891,n_22779,242.42118644807388,5282.12
245,n_6891,n_7559,406.72197543236575,5463.08
246,n_6892,n_22590,367.776050864899,1428.73
247,n_6893,n_6903,37.69269447734179,4679.36
248,n_6894,n_22592,103.47413369127105,4997.33
249,n_6895,n_22591,59.425128438501346,4820.12
250,n_6897,n_6902,11961.722488038278,15069.92
251,n_6897,n_7619,18.91642588736339,4473.99
252,n_6900,n_22591,34482.75862068966,7293.57
253,n_6901,n_6902,58.487573349996836,4815.13
254,n_6901,n_6906,32.83699773431283,4637.54
255,n_6902,n_7700,39.39355512771529,1235.36
256,n_6902,n_9877,116.29299788230452,5035.47
257,n_6904,n_18493,29069.76744186047,7213.55
258,n_6905,n_22592,1075.0769217537513,5819.95
259,n_6912,n_6922,47.00225935160478,4747.09
260,n_6913,n_31027,15.108406061800721,32192.67
261,n_6913,n_6641,19.167740171928116,4477.83
262,n_6916,n_6969,197.16041681289397,1371.9
263,n_6922,n_10051,32.543520531365395,4634.83
264,n_6922,n_26871,64.76654574752575,1276.0
265,n_6922,n_15782,17.389507331259782,1171.31
266,n_6930,n_28700,84.01440309320867,6079.67
267,n_6930,n_28698,159.77598129214988,9840.16
268,n_6938,n_28698,88.78489612655471,1302.47
269,n_6940,n_18703,68.34942962400979,1280.48
270,n_6941,n_6939,187.78609211133158,5195.03
271,n_6941,n_30950,1004.9190788911723,5794.43
272,n_6942,n_28471,93.05010617947615,6119.679999999999
