,source,sink,reactance,limit
621,n_6969,n_22602,379.3737526,1431.62
622,n_6971,n_18870,459.226644,1449.53
623,n_6971,n_6974,856.0185379,1509.51
624,n_6971,n_6978,66.10997222,1277.7
625,n_6974,n_6976,2484.11409,1617.92
626,n_6974,n_6980,2179.185725,1604.18
627,n_6977,n_18870,41.13843037,1238.85
628,n_6978,n_28707,86.15262782,1299.92
629,n_6981,n_6982,197.3908093,1372.01
630,n_6982,n_6966,160.8772831,1353.86
631,n_6984,n_18870,838.9311011,1507.53
632,n_6987,n_22602,179.9574545,1363.77
633,n_6991,n_19358,931.5844388,1517.84
634,n_7011,n_28710,34.99983533,4656.84
635,n_7014,n_28710,44.44266279,1245.09
636,n_7014,n_6666,20.73837749,1184.82
637,n_7031,n_30941,17.09408664,32452.5
638,n_7044,n_22609,292.1252668,1407.47
639,n_7044,n_30087,6199.781768,1717.17
640,n_7045,n_15666,63.63855338,1274.54
641,n_7045,n_22609,824.8844543,1505.87
642,n_7045,n_24341,346.9860789,1423.33
643,n_7045,n_30086,92.16066627,9917.82
644,n_7045,n_7046,129.1890018,5070.06
645,n_7046,n_22609,108.4557528,1319.55
646,n_7046,n_7047,166.6456693,1356.97
647,n_7049,n_26833,128.9263887,1334.49
648,n_7049,n_28707,105.1833514,6281.73
649,n_7050,n_23857,2366.914325,6126.77
650,n_7061,n_7064,57.89935691,4811.96
651,n_7064,n_7066,365.2311621,5424.95
652,n_7065,n_28663,8.854910982,4258.28
653,n_7065,n_29002,51.70468805,4776.65
654,n_7065,n_7067,182.4251268,5185.24
655,n_7065,n_7699,49.35301894,4762.19
656,n_7066,n_28718,150.0237563,5119.65
657,n_7067,n_23767,62.45459551,4835.75
658,n_7067,n_9824,248.5071554,5290.65
659,n_7089,n_6689,14.79843218,4403.05
660,n_7089,n_9820,24.82378094,4553.85
661,n_7089,n_9821,63.98077506,4843.35
662,n_7091,n_7092,3625.907837,6299.27
663,n_7092,n_1924,43.39648868,4722.49
664,n_7555,n_22779,1898.005007,6039.34
665,n_7557,n_1514,22.20890774,9041.47
666,n_7557,n_29872,70.81334509,4875.45
667,n_7557,n_29874,70.69655406,4874.93
668,n_7559,n_18705,63.88050972,4842.86
669,n_7566,n_28767,85.25749554,4934.73
670,n_7587,n_19221,554.9041597,5574.69
671,n_7587,n_19223,148.9277796,5117.21
672,n_7588,n_22813,7832.01886,6623.14
673,n_7589,n_28767,110.6083715,5019.07
674,n_7590,n_19223,2105.360669,6080.24
675,n_7590,n_22813,145.8047313,5110.15
676,n_7591,n_19221,6777.547341,6561.08
677,n_7597,n_22818,9052.723059,6685.88
678,n_7599,n_22815,22831.05023,7100.4
679,n_7600,n_22816,3991.235247,6338.76
680,n_7601,n_22814,179.5713524,5179.92
681,n_7601,n_22817,515.053733,5547.71
682,n_7602,n_22814,345.3447698,5405.21
683,n_7602,n_22815,235.0992895,5271.58
684,n_7608,n_7607,204.6208294,5224.14
685,n_7618,n_6897,25.29644589,4559.44
686,n_7619,n_22867,44.56792136,4730.68
687,n_7619,n_22868,168.739747,5158.98
688,n_7699,n_22867,492.0494647,5531.24
689,n_7699,n_23766,85.03790394,4933.9
690,n_7699,n_9885,106.3518199,5006.26
691,n_7701,n_22868,834.2969463,1506.98
692,n_7702,n_22868,247.5427054,5289.31
693,n_7702,n_7703,362.6917823,5422.48
694,n_7703,n_9823,105.1495521,5002.56
696,n_9413,n_28669,12.26594973,4349.57
697,n_9413,n_9441,60.98624144,4828.26
698,n_9414,n_28704,111.5903047,6192.59
699,n_9418,n_17163,57.84368796,4811.66
700,n_9418,n_9419,799.4154674,1502.8
701,n_9419,n_6664,15.36002092,4413.74
702,n_9419,n_9836,22.17907849,4520.57
703,n_9419,n_9872,67.8378924,4861.85
704,n_9439,n_9440,92.88404208,4962.33
705,n_9440,n_23586,263.9339996,10615.92
706,n_9440,n_23772,75.53204394,4895.97
707,n_9440,n_23773,129.8912161,5071.85
708,n_9440,n_9479,19.22705804,4478.73
709,n_9440,n_9484,6.494561691,4173.2
710,n_9441,n_9439,15.73064604,4420.59
711,n_9454,n_23779,24691.35802,7137.4
712,n_9455,n_23583,286.3763879,5339.73
713,n_9455,n_23584,188.260171,5195.88
714,n_9456,n_23780,1194.148196,5859.881656
715,n_9457,n_23582,196.6663867,5210.68
716,n_9457,n_23583,203.1141048,5221.63
717,n_9457,n_28947,83.27817542,9639.59
718,n_9458,n_23584,961.2038886,5777.68
719,n_9458,n_23585,3408.037516,12270.77
720,n_9477,n_23596,44.1967267,4728.11
721,n_9479,n_23781,77.51283031,4904.23
722,n_9480,n_12417,886.0739305,1512.9
723,n_9480,n_23599,109.6970551,6186.07
724,n_9480,n_23781,214.3097629,5239.9
725,n_9480,n_9484,12.87048462,4363.22
726,n_9480,n_9867,503.8857147,5539.8
727,n_9483,n_23781,238.4818057,5276.48
728,n_9484,n_23600,21.75825168,4514.94
729,n_9484,n_9873,190.2082324,5199.36
730,n_9487,n_18868,118.0867862,1326.88
731,n_9487,n_31010,6381.661657,6535.42
732,n_9488,n_23600,167.0758354,5155.66
733,n_9505,n_28953,32.29979064,4632.56
734,n_9505,n_9506,10405.82726,8213.37
735,n_9505,n_9507,170.5384581,1359.01
736,n_9506,n_18869,107.3356281,1318.66
737,n_9506,n_28954,66.19930838,4854.11
738,n_9508,n_23786,251.3491796,5294.57
739,n_9508,n_23787,311.2066446,5368.71
740,n_9820,n_7091,34.02092341,4648.25
741,n_9821,n_23774,30.17876877,1214.11
742,n_9821,n_9840,20.04482142,4490.89
743,n_9822,n_22867,85.70813432,4936.42
744,n_9823,n_28718,20876.82672,13553.39
745,n_9825,n_23768,799.043066,5708.6
746,n_9829,n_9831,110.314031,5018.2
747,n_9829,n_9832,162.7604432,5146.88
748,n_9830,n_28993,84.01551128,4930.01
749,n_9830,n_9832,136.5319865,5088.34
750,n_9831,n_23770,61.6771231,4831.81
751,n_9831,n_28668,164.7546071,10300.64
752,n_9833,n_23769,201.325203,5218.63
753,n_9833,n_23770,201.3007248,5218.58
754,n_9833,n_28993,152.6644372,10248.78
755,n_9834,n_23769,879.3048568,5744.28
756,n_9834,n_28666,55.53106019,4798.9
757,n_9835,n_23769,1049.280508,5810.75
758,n_9835,n_23770,1089.035158,5824.84
759,n_9837,n_23771,290.347485,5344.52
760,n_9838,n_23773,14245.01425,6886.09
761,n_9840,n_23774,77.76615779,1291.28
762,n_9841,n_23774,27855.1532,1893.8
763,n_9846,n_18698,22.30097539,4522.18
764,n_9846,n_28995,188.8787083,5196.99
765,n_9846,n_29001,224.7522331,5256.16
766,n_9849,n_23777,63.66670429,4841.8
767,n_9850,n_23776,726.84138,5673.51
768,n_9851,n_23776,107.1018945,5008.55
769,n_9851,n_28662,186.1107761,1366.76
770,n_9851,n_30518,120.2458113,5046.44
771,n_9852,n_28995,965.6582941,5779.42
772,n_9858,n_28998,31.19638219,4622.09
773,n_9859,n_28766,154.9364776,5130.4
774,n_9859,n_9858,16.92263821,4441.66
775,n_9864,n_9866,235.2948374,5271.87
776,n_9865,n_23787,114.3858248,5030.05
777,n_9865,n_28955,816.7045481,5716.73
778,n_9866,n_23783,8604.148921,6663.8
779,n_9868,n_23784,22.90593538,4530.07
780,n_9868,n_23786,25.89573409,4566.4
781,n_9869,n_23788,5057.222472,6437.2
782,n_9870,n_18693,54.76799483,4794.58
783,n_9870,n_23789,147.1249649,5113.15
784,n_9871,n_23788,95.61671009,4971.7
785,n_9871,n_23789,34.50783749,4652.55
786,n_9872,n_23788,1962.912727,6052.58
787,n_9873,n_31010,19.51929253,4483.13
788,n_9874,n_17072,180.1824852,1363.88
789,n_9874,n_23789,34.65952098,4653.88
790,n_9874,n_23790,29.63392501,4606.66
791,n_9874,n_9876,29.24314187,4602.68
792,n_9876,n_18868,251.1222654,1393.68
793,n_9877,n_23790,27.88999861,4588.5
794,n_9881,n_28663,31.21007451,4622.22
795,n_9885,n_23793,439.2837391,5490.54
796,n_9886,n_23792,266.9846988,5315.41
797,n_9887,n_15226,91.72819029,1305.24
798,n_9887,n_18698,350.4487847,5410.38
799,n_9994,n_10012,97.81338185,4979.06
800,n_9994,n_29016,76.47655971,4899.93
801,n_9995,n_23846,135.4418927,5085.69
