source,sink,linesus,linemva
3087,3088,0.00814877,5053.13
10014,18691,0.017511408,1265.58
7045,24341,0.00288196,1423.33
322,1837,0.089755885,31560.62
27917,27922,0.000376691,1624.93
6662,28667,0.037352761,4576.30
6922,26871,0.01544007,1276.00
10707,30421,0.010850351,4959.81
6652,28470,0.00130013,41578.55
7619,22867,0.022437663,4730.68
12414,6888,0.046778797,4509.75
28673,23792,0.006369807,5134.80
28662,30518,0.000333157,6222.26
29924,1837,0.351389844,28877.46
6965,6967,0.022388204,1245.50
1517,7592,0.025749418,4688.47
6930,28698,0.024838107,4699.48
23584,9453,0.004053713,5288.12
1508,5117,0.005193333,1369.79
29239,13841,0.004066042,1391.79
14194,14258,0.001921491,1461.39
7600,22816,0.000250549,6338.76
4099,28470,0.011704574,4935.40
28662,9822,0.062911606,4423.59
6964,18694,6.5493E-05,1820.94
6691,7607,0.029852767,4643.56
9455,23584,0.005311798,5195.88
7089,6689,0.067574726,4403.05
10018,10014,0.072515512,4382.87
6660,6683,0.000342223,1635.11
9455,23583,0.003491908,5339.73
28954,10002,0.004113607,5283.07
9885,23793,0.002276433,5490.54
7014,6666,0.04821978,1184.82
6178,6654,0.007121895,1341.92
19230,25052,0.000482054,6074.39
9440,9484,0.153974979,4173.20
9505,9506,9.61333E-05,1776.01
6692,18706,0.007128045,5097.34
10127,23901,0.003625576,5326.68
1514,6178,0.003304955,5358.89
28666,30413,0.034202786,4602.62
18699,30068,0.001416801,1490.67
1834,6891,0.006352484,5135.71
15777,26871,0.006557905,1349.15
10017,29021,0.004246075,5272.18
3492,20880,0.002677221,1430.17
9413,9441,0.016397141,4828.26
6699,22549,0.012920996,4903.73
28501,30882,0.029611754,1223.03
10058,18692,0.023795599,4712.62
15512,30898,0.013562847,1286.81
6953,6954,0.024045569,1239.72
7557,1514,0.045026978,4520.97
6902,9877,0.00859897,5035.47
22426,22521,0.016125847,4833.51
6422,10126,0.02252811,4729.44
28704,9412,0.104746126,4279.19
6897,6902,0.00010755,1763.08
23790,28999,0.004800355,5230.24
28470,28664,0.012463292,4915.26
6901,6902,0.017097649,4815.13
7702,22868,0.004039707,5289.31
23784,9863,0.00130717,5692.45
6700,22548,0.005494528,5184.45
324,19224,0.014048361,4877.10
28703,28702,0.020685359,4755.79
321,28770,0.009779733,4993.47
23582,23583,0.004814128,5229.26
6890,22590,8.37336E-06,2081.85
23779,23780,0.008585367,5035.99
29017,30069,0.068900228,4397.48
13956,17072,0.001227718,1504.63
27919,27920,0.000262466,6319.62
30944,21135,0.002115978,5516.73
23776,23777,0.024768033,4700.35
23843,23844,0.000268873,6309.70
15628,15630,0.009013745,1321.50
23793,9886,0.099887616,4292.44
23843,23845,0.000505747,6055.45
6692,10016,0.059160707,4441.33
319,22546,0.029864556,4643.44
6678,6682,0.049444977,4493.50
6685,31267,0.002905423,1422.58
1514,22543,0.000152376,6547.33
4095,4098,0.005173782,5204.79
18699,18709,0.095681229,1133.13
6940,18703,0.0146307,1280.48
9866,23783,0.000116223,6663.80
9872,23788,0.000509447,6052.58
6641,6922,0.074491931,4375.20
20896,1514,2.2252E-05,7420.94
10836,30087,0.000528086,1589.58
6922,15782,0.057505942,1171.31
27917,27921,0.000132266,6607.94
9505,9506,0.00019766,6437.36
4491,30890,0.00588172,1358.74
23844,23845,0.00023812,6359.79
6177,18705,0.003062258,5385.56
12162,18700,0.000137065,1735.47
22548,6691,0.002877271,5407.45
23585,23586,0.002404187,5471.06
31089,29239,0.000274973,1658.57
4475,28505,0.033640998,4607.58
26569,26570,2.95532E-06,2227.89
6942,28698,0.011741028,4934.40
9419,9836,0.045087536,4520.57
19221,28770,0.004287929,5268.82
7065,7699,0.020262185,4762.19
26569,31224,1.03453E-05,2053.39
6955,28703,0.010849947,4959.82
10124,10125,0.017189635,4813.45
6893,6903,0.02653034,4679.36
6673,21285,0.015224651,1277.16
28697,28470,0.018215209,4795.33
29872,20897,0.017908034,4800.64
28664,29962,0.012314054,1294.93
7045,7046,0.007740597,5070.06
23780,28945,0.039466757,4559.92
6657,22544,0.000183085,1703.07
6659,28502,0.005053039,1372.24
7618,6897,0.039531245,4559.44
10014,14322,0.000423649,1612.55
6655,22540,0.003716376,5318.11
9457,28947,0.012007948,4927.19
22539,22540,0.00084842,5854.90
18694,28706,0.012586373,1293.08
1572,7031,0.017264229,35135.94
10022,28665,0.040779128,4550.22
29001,9881,0.009403199,5006.25
340,6906,0.009400458,5006.34
9833,23770,0.004967692,5218.58
6666,6678,0.000143275,6573.64
1517,20895,0.001490973,5643.90
7049,28707,0.014879151,1279.07
9874,23790,0.033745108,4606.66
9831,28668,0.006069633,5150.96
28666,23768,0.004521192,5250.68
6891,7559,0.002458682,5463.08
31027,28663,0.161372184,30378.08
2415,10054,0.000824249,5865.93
10015,23847,0.021226182,4747.81
15641,30940,0.004945067,38115.30
21118,21135,0.000643674,1569.23
7599,22815,4.38457E-05,7100.40
6982,6966,0.006215918,1353.86
6651,22539,0.004692636,5237.97
4472,6922,0.049231195,4494.77
10124,27939,0.016762649,4821.34
9852,28995,0.001035563,5779.42
28704,7041,0.027156628,4672.26
1508,29226,0.003582955,1403.30
6662,28667,0.009310993,5009.46
6900,22591,2.90308E-05,7293.57
29873,30304,0.003593696,5329.75
22612,28662,0.000458715,6094.05
17632,18703,0.001075915,1517.62
6665,28998,0.017574114,4806.52
9858,28998,0.032054999,4622.09
7014,28710,0.022500902,1245.09
6685,30940,0.011165439,1303.21
7044,22609,0.003423189,1407.47
22591,6897,0.014196387,4873.78
10125,23900,0.042268197,4539.61
9457,23582,0.005084753,5210.68
6661,6907,0.009372546,5007.31
10124,17329,0.010039495,4984.95
27914,27915,0.002489912,5458.59
6662,9414,0.026553953,4679.09
7065,28663,0.112931683,4258.28
23767,28991,4.62662E-05,7075.61
1754,28766,0.078492585,1147.83
9873,31010,0.051231365,4483.13
28470,4472,0.043563806,4530.70
28663,28673,0.013388158,4892.41
15692,30941,0.089617774,1137.97
275,6024,0.06094503,4432.75
6701,19222,0.004508834,5251.61
1924,28719,0.05151653,4481.51
9440,23586,0.003865757,5304.49
7602,22814,0.002895657,5405.21
7066,28718,0.006665611,5119.65
10029,23786,0.046981737,4508.48
322,6891,0.137418884,30697.50
28670,28671,0.030810097,4634.03
24341,30087,0.002586569,1433.38
30950,6940,0.000881027,1537.49
9846,28995,0.005294403,5196.99
6953,18694,0.020821502,1251.40
22542,22543,0.004035726,5289.65
2042,20311,0.000602364,1576.02
326,30944,0.007328496,5088.15
6942,28698,0.023443482,4717.20
6178,23861,0.000172844,6493.83
20311,23859,0.004327902,5265.63
23842,30522,0.002699869,5429.90
28502,28664,0.028294464,4659.79
10048,22426,0.048767984,4497.54
6407,29970,0.031604738,4626.35
6673,28699,0.009595534,1316.13
10017,29021,0.004562893,5247.54
10014,29255,0.044047004,1191.82
3861,21135,0.000286445,1654.16
30640,14366,0.003400015,1408.09
9505,28953,0.030959953,4632.56
4459,28502,0.018986551,4782.40
9487,31010,0.000156699,6535.42
3088,10123,0.023405929,4717.69
9457,28947,0.023812519,4712.40
6673,6940,0.030914393,1219.61
9484,9873,0.005257396,5199.36
1850,1851,0.009955498,1312.98
9484,23600,0.045959575,4514.94
218,1586,0.002316343,1443.72
6663,6677,0.00452563,5250.34
17329,27939,0.007562069,5077.77
322,22816,0.007552634,5078.18
7065,7067,0.005481701,5185.24
9821,9840,0.049888197,4490.89
28673,30401,0.000140711,6581.37
7559,18705,0.015654227,4842.86
28470,28471,0.01727426,4811.91
14194,18690,0.008722747,1324.32
30942,30943,0.001275161,5701.64
18693,18868,0.01622585,1271.88
1517,20882,0.003148616,5375.82
3498,20883,3.42686E-05,7215.24
9441,9439,0.06357018,4420.59
23598,28945,0.023943744,1240.07
10052,23858,0.007507791,5080.15
16289,18700,0.016460541,1270.69
322,19224,0.016157196,4832.90
6687,28669,0.072098595,4384.51
9825,23768,0.001251497,5708.60
18708,18709,0.004782582,1377.16
6941,6939,0.005325208,5195.03
