,Generator,Time,Value
472,Marshall_NC_1,17,0.0
473,Marshall_NC_1,18,0.0
474,Marshall_NC_1,19,0.0
475,Marshall_NC_1,20,0.0
476,Marshall_NC_1,21,0.0
477,Marshall_NC_1,22,0.0
478,Marshall_NC_1,23,0.0
479,Marshall_NC_1,24,0.0
480,Marshall_NC_2,1,0.0
481,Marshall_NC_2,2,0.0
482,Marshall_NC_2,3,0.0
483,Marshall_NC_2,4,0.0
484,Marshall_NC_2,5,0.0
485,Marshall_NC_2,6,0.0
486,Marshall_NC_2,7,0.0
487,Marshall_NC_2,8,0.0
488,Marshall_NC_2,9,0.0
489,Marshall_NC_2,10,0.0
490,Marshall_NC_2,11,0.0
491,Marshall_NC_2,12,0.0
492,Marshall_NC_2,13,0.0
493,Marshall_NC_2,14,0.0
494,Marshall_NC_2,15,0.0
495,Marshall_NC_2,16,0.0
496,Marshall_NC_2,17,0.0
497,Marshall_NC_2,18,0.0
498,Marshall_NC_2,19,0.0
499,Marshall_NC_2,20,0.0
500,Marshall_NC_2,21,0.0
501,Marshall_NC_2,22,0.0
502,Marshall_NC_2,23,0.0
503,Marshall_NC_2,24,0.0
504,Marshall_NC_3,1,0.0
505,Marshall_NC_3,2,0.0
506,Marshall_NC_3,3,0.0
507,Marshall_NC_3,4,0.0
508,Marshall_NC_3,5,0.0
509,Marshall_NC_3,6,0.0
510,Marshall_NC_3,7,0.0
511,Marshall_NC_3,8,0.0
512,Marshall_NC_3,9,0.0
513,Marshall_NC_3,10,0.0
514,Marshall_NC_3,11,0.0
515,Marshall_NC_3,12,0.0
516,Marshall_NC_3,13,0.0
517,Marshall_NC_3,14,0.0
518,Marshall_NC_3,15,0.0
519,Marshall_NC_3,16,0.0
520,Marshall_NC_3,17,0.0
521,Marshall_NC_3,18,0.0
522,Marshall_NC_3,19,0.0
523,Marshall_NC_3,20,0.0
524,Marshall_NC_3,21,0.0
525,Marshall_NC_3,22,0.0
526,Marshall_NC_3,23,0.0
527,Marshall_NC_3,24,0.0
528,Marshall_NC_4,1,0.0
529,Marshall_NC_4,2,0.0
530,Marshall_NC_4,3,0.0
531,Marshall_NC_4,4,0.0
532,Marshall_NC_4,5,0.0
533,Marshall_NC_4,6,0.0
534,Marshall_NC_4,7,0.0
535,Marshall_NC_4,8,0.0
536,Marshall_NC_4,9,0.0
537,Marshall_NC_4,10,0.0
538,Marshall_NC_4,11,0.0
539,Marshall_NC_4,12,0.0
540,Marshall_NC_4,13,0.0
541,Marshall_NC_4,14,0.0
542,Marshall_NC_4,15,0.0
543,Marshall_NC_4,16,0.0
544,Marshall_NC_4,17,0.0
545,Marshall_NC_4,18,0.0
546,Marshall_NC_4,19,0.0
547,Marshall_NC_4,20,0.0
548,Marshall_NC_4,21,0.0
549,Marshall_NC_4,22,0.0
550,Marshall_NC_4,23,0.0
551,Marshall_NC_4,24,0.0
552,Mayo_1,1,763.2
553,Mayo_1,2,763.2
554,Mayo_1,3,763.2
555,Mayo_1,4,763.2
556,Mayo_1,5,763.2
557,Mayo_1,6,763.2
558,Mayo_1,7,763.2
559,Mayo_1,8,763.2
560,Mayo_1,9,763.2
561,Mayo_1,10,763.2
562,Mayo_1,11,763.2
563,Mayo_1,12,763.2
564,Mayo_1,13,763.2
565,Mayo_1,14,548.1531255674613
566,Mayo_1,15,419.5378417783258
567,Mayo_1,16,444.07927441617755
568,Mayo_1,17,569.9677320672424
569,Mayo_1,18,763.2
570,Mayo_1,19,763.2
571,Mayo_1,20,763.2
572,Mayo_1,21,763.2
573,Mayo_1,22,763.2
574,Mayo_1,23,763.2
575,Mayo_1,24,763.2
576,Roxboro_1,1,0.0
577,Roxboro_1,2,0.0
578,Roxboro_1,3,0.0
579,Roxboro_1,4,0.0
