n_319_nuc,n_6652_nuc,n_18689_nuc
929.6903346,2429.037169,1958.518959
932.4677908,2428.04586,1964.370048
931.7103027,2428.376296,1962.774296
935.750239,2428.706733,1971.284971
934.7402549,2429.367605,1969.157302
934.4877589,2429.698041,1968.625385
935.750239,2429.367605,1971.284971
934.2352629,2430.358914,1968.093468
934.9927509,2430.358914,1969.689219
932.9727828,2431.350223,1965.433882
932.9727828,2430.028478,1965.433882
932.7202868,2431.019787,1964.901965
932.4677908,2429.698041,1964.370048
933.7302708,2430.68935,1967.029634
932.9727828,2433.002404,1965.433882
932.9727828,2432.011095,1965.433882
933.2252788,2432.671968,1965.965799
933.7302708,2432.341532,1967.029634
932.4677908,2432.011095,1964.370048
932.4677908,2431.350223,1964.370048
933.9827669,2432.011095,1967.561551
932.9727828,2432.011095,1965.433882
932.7202868,2432.011095,1964.901965
933.2252788,2430.68935,1965.965799
932.4677908,2432.341532,1964.370048
932.2152947,2432.341532,1963.838131
931.9627987,2430.68935,1963.306213
931.9627987,2433.663277,1963.306213
932.2152947,2431.019787,1963.838131
931.2053107,2432.671968,1961.710462
931.7103027,2431.680659,1962.774296
930.7003186,2433.663277,1960.646628
931.2053107,2431.350223,1961.710462
928.9328465,2433.002404,1956.923208
927.4178704,2431.019787,1953.731705
926.6603824,2432.671968,1952.135953
924.8929102,2431.350223,1948.412533
924.3879182,2433.002404,1947.348699
924.1354222,2432.011095,1946.816782
923.8829262,2431.019787,1946.284865
924.1354222,2433.002404,1946.816782
925.1454063,2430.358914,1948.94445
926.4078864,2432.341532,1951.604036
926.9128784,2429.698041,1952.66787
925.9028943,2433.002404,1950.540202
926.4078864,2429.698041,1951.604036
926.9128784,2432.341532,1952.66787
926.1553903,2432.341532,1951.072119
925.3979023,2431.019787,1949.476367
924.8929102,2432.011095,1948.412533
924.3879182,2432.011095,1947.348699
923.3779341,2431.350223,1945.22103
923.6304302,2431.350223,1945.752947
924.8929102,2432.011095,1948.412533
924.1354222,2431.019787,1946.816782
924.1354222,2433.332841,1946.816782
923.8829262,2430.68935,1946.284865
923.6304302,2433.663277,1945.752947
924.1354222,2431.350223,1946.816782
924.8929102,2432.011095,1948.412533
925.6503983,2431.350223,1950.008285
926.4078864,2432.011095,1951.604036
926.1553903,2431.350223,1951.072119
925.9028943,2433.002404,1950.540202
927.1653744,2430.68935,1953.199788
